House Harlaw of Harridan Hill
House Harlaw of the Tower of Glimmering
House Harlton
House Harroway of Harrenhal
House Harte
House Hastwyck
House Hasty
House Hawick of Saltpans
House Hawthorne
House Hayford of Hayford
House Heddle
House Herston
House Hersy of Newkeep
House Hetherspoon
House Hewett of Oakenshield
House Hightower of the Hightower
House Hoare of Orkmont
House Hogg of Sow's Horn
House Hollard
House Holt
House Hook
House Hornwood of Hornwood
House Horpe
House Hull
House Humble
House Hunt
House Hunter of Longbow Hall
House Hutcheson
House Inchfield
House Ironmaker
House Ironsmith
House Jast
House Jordayne of the Tor
House Justman
House Karstark of Karhold
House Keath
House Kellington
House Kenning of Harlaw
House Kenning of Kayce
House Kettleblack
House Kidwell of Ivy Hall
House Knott
House Kyndall
House Ladybright
House Lake
House Langward
House Lannett
House Lannister of Casterly Rock
House Lannister of Darry
House Lannister of Lannisport
House Lanny
House Lantell
House Lefford of the Golden Tooth
House Leygood
House Liddle
House Lightfoot
House Lipps
House Locke of Oldcastle
House Lolliston
House Long
House Longthorpe of Longsister
House Longwaters
House Lonmouth
House Lorch
House Lothston of Harrenhal
House Lowther
House Lyberr
House Lychester
House Lydden of Deep Den
House Lynderly of the Snakewood
House Magnar of Kingshouse
House Mallery
House Mallister of Seagard
House Manderly of White Harbor
House Manning
House Manwoody of Kingsgrave
House Marbrand of Ashemark
House Marsh
House Massey of Stonedance
House Meadows of Grassy Vale
House Melcolm of Old Anchor
House Merlyn of Pebbleton
House Merryweather of Longtable
House Mertyns of Mistwood
House Middlebury
House Mollen
House Moore
House Mooton of Maidenpool
House Moreland
House Mormont of Bear Island
House Morrigen of Crow's Nest
House Moss
House Mudd of Oldstones
House Mullendore of Uplands
House Musgood
House Myatt
House Myre of Harlaw
House Nayland of Hag's Mire
House Netley
House Norcross
House Norrey
House Norridge
House Nutt
House Nymeros Martell of Sunspear
House Oakheart of Old Oak
House Oldflowers
House Orkwood of Orkmont
House Orme
House Osgrey of Leafy Lake
House Osgrey of Standfast
House Overton
House Paege
House Parren
House Payne
House Peake of Starpike
House Peasebury of Poddingfield
House Peat
House Peckledon
House Penrose of Parchments
House Perryn
House Piper of Pinkmaiden
House Plumm
House Pommingham
House Poole
House Prester of Feastfires
House Pryor of Pebble
House Pyle
House Pyne
House Qoherys of Harrenhal
House Qorgyle of Sandstone
House Quagg
House Rambton
House Redbeard
House Redding
House Redfort of Redfort
House Redwyne of the Arbor
House Reed of Greywater Watch
House Reyne of Castamere
House Rhysling
House Risley
House Rogers of Amberly
House Rollingford
House Roote of Lord Harroway's Town
House Rosby of Rosby
House Rowan of Goldengrove
House Roxton of the Ring
House Royce of Runestone
House Royce of the Gates of the Moon
House Ruthermont
House Ruttiger
House Ryder of the Rills
House Ryger of Willow Wood
House Rykker of Duskendale
House Ryswell of the Rills
House Saltcliffe of Saltcliffe
House Santagar of Spottswood
House Sarsfield of Sarsfield
House Sarwyck
House Seaworth of Cape Wrath
House Selmy of Harvest Hall
House Serrett of Silverhill
House Serry of Southshield
House Sharp
House Shawney
House Shell
House Shepherd
House Shermer of Smithyton
House Shett of Gull Tower
House Shett of Gulltown
House Slate of Blackpool
House Sloane
House Slynt of Harrenhal
House Smallwood of Acorn Hall
House Sparr of Great Wyk
House Spicer of Castamere
House Stackhouse
House Stackspear
House Staedmon of Broad Arch
House Stane of Driftwood Hall
House Stark of Winterfell
House Staunton of Rook's Rest
House Stokeworth of Stokeworth
House Stonehouse of Old Wyk
House Stonetree of Harlaw
House Stout of Goldgrass
House Strickland
House Strong of Harrenhal
House Sunderland of the Three Sisters
House Sunderly of Saltcliffe
House Sunglass of Sweetport Sound
House Swann of Stonehelm
House Swyft of Cornfield
House Swygert
House Tallhart of Torrhen's Square
House Tarbeck of Tarbeck Hall
House Targaryen of King's Landing
House Tarly of Horn Hill
House Tarth of Evenfall Hall
House Tawney of Orkmont
House Teague
House Templeton
House Terrick
House Thenn
House Thorne
House Toland of Ghost Hill
House Tollett of the Grey Glen
House Torrent of Littlesister
House Towers
House Towers of Harrenhal
House Toyne
House Trant of Gallowsgrey
House Tudbury
House Tully of Riverrun
House Turnberry
House Tyrell of Brightwater Keep
House Tyrell of Highgarden
House Uffering
House Uller of Hellholt
House Umber of the Last Hearth
House Upcliff
House Vaith of the Red Dunes
House Vance of Atranta
House Vance of Wayfarer's Rest
House Varner
House Velaryon of Driftmark
House Vikary
House Volmark
House Vypren
House Vyrwel of Darkdell
House Wade
House Wagstaff
House Waterman
House Waxley of Wickenden
House Wayn
House Waynwood of Ironoaks
House Weaver
House Webber of Coldmoat
House Wells
House Wendwater
House Wensington
House Westbrook
House Westerling of the Crag
House Westford
House Whent of Harrenhal
House Whitehill
House Willum
House Wode
House Woodfoot of Bear Island
House Woods
House Woodwright
House Woolfield
House Wull
House Wydman
House Wyl of the Boneway
House Wylde of Rain House
House Wynch of Iron Holt
House Wythers
House Yarwyck
House Yelshire
House Yew
House Yronwood of Yronwood
Howland Reed
Hubard Rambton
Hugh
Hugh Beesbury
Hugh Grandison
Hugo Vance
Hugo Wull
Hullen
Humfrey Beesbury
Humfrey Clifton
Humfrey Hardyng
Humfrey Hewett
Humfrey Swyft
Humfrey Wagstaff
Husband
Hyle Hunt
Igon Vyrwel
Illyrio Mopatis
Illyrio's first wife
Ilyn Payne
Imry Florent
Iron Holt
Iron Islands
Ironoaks
Ironrath (Telltale)
Irri
Ivy Hall
Jacelyn Bywater
Jack Musgood
Jacks
Jaehaera Targaryen
Jaehaerys I
Jaehaerys II
Jaehaerys Targaryen
Jaime Frey
Jaime Lannister
Jammos Frey
Janei Lannister
Janna Tyrell
Janos Slynt
Janyce Hunter
Jared Frey
Jarman Buckwell
Jason Lannister
Jason Mallister
Jasper Arryn
Jasper Redfort
Jasper Waynwood
Jasper Wylde
Jate Blackberry
Jayne Bracken
Jeffory Mallister
Jeffory Norcross
Jena Dondarrion
Jenny of Oldstones
Jeor Mormont
Jeyne
Jeyne Arryn
Jeyne Beesbury
Jeyne Darry
Jeyne Farman
Jeyne Fossoway
Jeyne Goodbrook
Jeyne Lothston
Jeyne Lydden
Jeyne Marbrand
Jeyne Poole
Jeyne Rivers
Jeyne Royce
Jeyne Swann
Jeyne Westerling
Jhiqui
Jhogo
Joanna Lannister
Joanna Swyft
Jocelyn Swyft
Jodge
Joffrey Baratheon
Joffrey Caswell
Joffrey Lonmouth
Johanna Lannister
Johanna Swann
John the Oak
Jojen Reed
Jommy
Jon Arryn
Jon Bettley
Jon Brax
Jon Bulwer
Jon Connington
Jon Cupps
Jon Fossoway
Jon Heddle
Jon Hollard
Jon Lynderly
Jon Myre
Jon Penrose
Jon Redfort
Jon Snow
Jon Stark
Jon Umber
Jon Wylde
Jonelle Cerwyn
Jonnel Stark
Jonos Bracken
Jonos Frey
Jonos Stark
Jonothor Darry
Jorah Mormont
Jorah Stark
Jorelle Mormont
Jorgen
Jory Cassel
Joseth
Joseth Mallister
Josmyn Peckledon
Joss Stilwood
Josua Willum
Jothos Slynt
Joy Hill
Joyeuse Erenford
Justin Massey
Jyana
Jyanna Frey
Jyck
Jynessa Blackmont
Karhold
Karlon Stark
Karyl Vance
Kayce
Kella
Kennos of Kayce
Kevan Lannister
Kiera of Tyrosh
King's Landing
Kingsgrave
Kingshouse
Kirth Vance
Kromm
Kurleket
Kyle Condon
Kyle Royce
Kyra
Kyra Frey
Laena Velaryon
Laenor Velaryon.
Lambert Turnberry
Lamprey
Lancel Lannister
Lann
Lanna Lannister
Lannisport
Larence Snow
Larra Blackmont
Larra Rogare
Larys Strong
Leana Frey
Lem
Lemonwood
Lenwood Tawney
Leo Blackbar
Leo Lefford
Leo Tyrell
Leobald Tallhart
Leona Tyrell
Leona Woolfield
Leonella Lefford
Leonette Fossoway
Leslyn Haigh
Lester
Lester Morrigen
Lew
Lewyn Martell
Lewys
Lewys Lydden
